V,Np,B,Tp,Texp/Tp,Pdyn,logBeta,B_rms,Time
452.40656,5.28,5.4386854,89431.0,0.74546725,2.16,0.17609127,0.09,2016-03-13 09:30:00
445.5009,5.25,5.4909563,89050.0,0.71365273,2.08,0.19312459,0.02,2016-03-13 09:35:00
444.55286,5.37,5.658816,93442.0,0.6756141,2.12,0.20139715,0.06,2016-03-13 09:40:00
441.29144,5.31,5.60762,87822.0,0.7025584,2.07,0.1818436,0.03,2016-03-13 09:45:00
444.84073,5.38,5.606086,88516.0,0.71465135,2.12,0.18469143,0.03,2016-03-13 09:50:00
441.99496,5.11,5.7364883,83102.0,0.74615294,2.0,0.13672057,0.07,2016-03-13 09:55:00
444.93384,5.21,5.6372776,83287.0,0.7600142,2.06,0.15836251,0.05,2016-03-13 10:00:00
446.1303,5.25,5.701754,81438.0,0.78379506,2.09,0.1492191,0.02,2016-03-13 10:10:00
445.7461,5.17,5.7580724,81487.0,0.7812256,2.05,0.13672057,0.01,2016-03-13 10:15:00
439.97598,5.27,5.706111,92493.0,0.6609075,2.04,0.17318627,0.09,2016-03-13 10:20:00
439.56625,5.39,5.7690988,92493.0,0.6589935,2.08,0.16435286,0.06,2016-03-13 10:25:00
442.7166,5.42,5.6112566,83945.0,0.7424207,2.12,0.16731733,0.04,2016-03-13 10:30:00
438.5022,5.34,5.604168,89583.0,0.67528605,2.06,0.18752073,0.09,2016-03-13 10:35:00
448.36148,4.95,5.649407,66199.0,0.9793155,1.98,0.1430148,0.15,2016-03-13 10:40:00
444.016,4.83,5.9310203,86522.0,0.7269099,1.9,0.08990512,0.02,2016-03-13 10:45:00
445.79434,4.82,6.0210795,85956.0,0.74085784,1.91,0.07554698,0.06,2016-03-13 10:50:00
442.044,4.93,5.896448,83022.0,0.74713004,1.93,0.096910015,0.09,2016-03-13 10:55:00
440.72797,4.88,5.8654494,89314.0,0.6880797,1.9,0.10720996,0.01,2016-03-13 11:00:00
438.84076,4.82,5.8195276,84829.0,0.71484596,1.86,0.10037054,0.05,2016-03-13 11:05:00
435.94125,4.86,5.672407,85066.0,0.6982942,1.85,0.117271274,0.03,2016-03-13 11:10:00
422.291,4.92,5.6601143,76576.0,0.7025741,1.75,0.11394334,0.02,2016-03-13 11:15:00
423.4018,4.92,5.732897,64038.0,0.84702957,1.76,0.06818584,0.09,2016-03-13 11:20:00
420.26025,5.02,5.4632316,63587.0,0.833488,1.77,0.07918126,0.07,2016-03-13 11:25:00
423.3439,4.67,6.0566244,54486.0,0.99509954,1.67,-0.013228253,0.06,2016-03-13 11:30:00
429.95212,4.52,6.230971,49852.0,1.141325,1.67,-0.060480744,0.1,2016-03-13 11:35:00
442.3931,6.98,4.580502,65884.0,0.94379276,2.73,0.35410845,0.49,2016-03-13 11:40:00
438.98492,6.23,4.722732,76660.0,0.7918302,2.4,0.37106785,0.14,2016-03-13 11:45:00
438.20502,6.1,4.577914,73956.0,0.8162503,2.35,0.2855573,0.17,2016-03-13 11:50:00
428.7906,5.45,5.2160616,73771.0,0.76480204,2.0,0.2068259,0.05,2016-03-13 11:55:00
429.06476,5.65,5.344333,77681.0,0.72775304,2.08,0.22530928,0.07,2016-03-13 12:00:00
424.49918,5.53,5.2011347,73070.0,0.7483362,1.99,0.22271647,0.04,2016-03-13 12:05:00
422.58643,5.65,5.165501,70840.0,0.76111746,2.01,0.24303806,0.02,2016-03-13 12:10:00
421.23822,5.73,5.0981765,69732.0,0.7655579,2.03,0.25767857,0.02,2016-03-13 12:15:00
423.17053,5.64,5.0269475,73058.0,0.74119055,2.02,0.24797328,0.04,2016-03-13 12:20:00
425.01917,5.57,5.1092467,74580.0,0.7359843,2.02,0.25285304,0.01,2016-03-13 12:25:00
424.47842,5.67,5.165946,76428.0,0.7153478,2.05,0.25767857,0.01,2016-03-13 12:30:00
423.26193,5.69,5.161269,78729.0,0.68826383,2.04,0.26007143,0.03,2016-03-13 12:35:00
423.96344,5.57,5.1324263,79262.0,0.68716896,2.0,0.26007143,0.1,2016-03-13 12:40:00
423.8185,5.61,5.011237,79419.0,0.685081,2.01,0.2855573,0.07,2016-03-13 12:45:00
423.1139,5.63,5.1034107,78976.0,0.6853646,2.02,0.26481783,0.03,2016-03-13 12:50:00
419.69028,5.71,4.7034564,77010.0,0.6853079,2.01,0.30319607,0.12,2016-03-13 12:55:00
419.9278,5.76,5.032832,84175.0,0.6280796,2.03,0.30103,0.08,2016-03-13 13:00:00
423.52835,5.35,5.1917048,77107.0,0.7041198,1.92,0.22788674,0.01,2016-03-13 13:05:00
421.87433,5.37,5.098529,76245.0,0.70345896,1.91,0.23299614,0.1,2016-03-13 13:10:00
419.4192,5.45,5.091277,75244.0,0.699983,1.92,0.25285304,0.07,2016-03-13 13:15:00
419.5888,5.43,4.667773,81082.0,0.65040153,1.92,0.33645976,0.14,2016-03-13 13:20:00
418.7398,5.43,4.336312,92425.0,0.5669937,1.91,0.2988531,0.08,2016-03-13 13:25:00
409.0749,5.28,2.808594,83214.0,0.58559996,1.76,0.53147894,0.47,2016-03-13 13:30:00
412.3345,5.38,3.445127,85518.0,0.58407676,1.83,0.5797836,0.4,2016-03-13 13:35:00
414.4319,5.19,4.3000116,90266.0,0.5621636,1.78,0.38201708,0.04,2016-03-13 13:40:00
416.3644,5.28,3.9425626,82374.0,0.6250092,1.83,0.3856063,0.1,2016-03-13 13:45:00
418.88358,5.37,3.9824114,85126.0,0.61626786,1.88,0.4199558,0.13,2016-03-13 13:50:00
426.4752,5.23,3.6582508,83828.0,0.661798,1.9,0.5250448,0.18,2016-03-13 13:55:00
418.29538,4.86,4.1563926,71198.0,0.7336082,1.7,0.2787536,0.27,2016-03-13 14:00:00
414.76718,4.82,4.752978,67336.0,0.75549746,1.66,0.23804612,0.02,2016-03-13 14:05:00
418.5391,5.12,4.4446483,74966.0,0.69799966,1.79,0.34044415,0.07,2016-03-13 14:10:00
418.7949,5.22,4.4608183,78628.0,0.6667582,1.83,0.35410845,0.02,2016-03-13 14:15:00
419.98636,5.14,4.140966,81825.0,0.64639854,1.81,0.3944517,0.09,2016-03-13 14:20:00
423.21973,5.74,3.7874,78475.0,0.6902773,2.06,0.50920254,0.07,2016-03-13 14:25:00
418.3445,5.51,3.339042,85182.0,0.6133989,1.93,0.6364879,0.35,2016-03-13 14:30:00
421.9358,5.64,2.7456694,111633.0,0.48067835,2.01,0.7853298,0.16,2016-03-13 14:35:00
426.41205,5.0,2.5438554,87624.0,0.6328361,1.82,0.59769523,0.22,2016-03-13 14:40:00
422.6084,5.13,2.975063,78017.0,0.6912121,1.84,0.7558749,1.01,2016-03-13 14:45:00
413.70886,5.27,4.4337454,61572.0,0.8196774,1.8,0.31597033,0.12,2016-03-13 14:50:00
418.04462,4.94,3.9594193,63208.0,0.824801,1.72,0.363612,0.3,2016-03-13 14:55:00
413.45047,4.06,3.79717,63460.0,0.79374576,1.39,0.33645976,0.21,2016-03-13 15:15:00
410.16992,3.8,4.409331,63674.0,0.7717016,1.28,0.1903317,0.37,2016-03-13 15:20:00
405.10208,3.79,4.7103395,58214.0,0.81203735,1.24,0.117271274,0.03,2016-03-13 15:25:00
407.87296,3.64,3.9137452,56395.0,0.8562067,1.21,0.18752073,0.28,2016-03-13 15:30:00
407.58987,3.9,4.469161,56775.0,0.84863997,1.29,0.15533602,0.2,2016-03-13 15:35:00
407.63998,4.07,4.8051324,54912.0,0.87776756,1.35,0.12385166,0.07,2016-03-13 15:40:00
409.5457,3.98,4.7919307,59567.0,0.82100666,1.34,0.13033378,0.06,2016-03-13 15:45:00
409.9802,4.07,4.592668,49631.0,0.9886283,1.37,0.15228835,0.03,2016-03-13 15:50:00
408.97263,4.09,4.529349,51808.0,0.9398588,1.37,0.16435286,0.04,2016-03-13 15:55:00
409.93585,4.35,4.538557,57158.0,0.8581492,1.46,0.20412001,0.04,2016-03-13 16:00:00
407.91818,4.13,4.3836627,54590.0,0.88482225,1.38,0.20412001,0.07,2016-03-13 16:05:00
409.01794,4.03,4.355238,48888.0,0.99633855,1.35,0.17609127,0.07,2016-03-13 16:10:00
407.4319,4.26,4.4218774,51377.0,0.93667233,1.41,0.20412001,0.04,2016-03-13 16:15:00
405.59164,4.02,4.4581385,49813.0,0.9525626,1.32,0.16435286,0.04,2016-03-13 16:20:00
405.2234,3.99,4.457421,49064.0,0.9643735,1.31,0.16435286,0.04,2016-03-13 16:25:00
404.61902,3.66,3.999375,55866.0,0.8430293,1.2,0.19589968,0.16,2016-03-13 16:30:00
405.057,3.83,4.178636,57219.0,0.8258719,1.26,0.22010809,0.03,2016-03-13 16:35:00
405.2606,3.87,4.1741347,53998.0,0.8765055,1.27,0.21218762,0.03,2016-03-13 16:40:00
407.62085,3.76,4.264739,52430.0,0.91918623,1.25,0.18752073,0.04,2016-03-13 16:45:00
408.03082,4.04,4.2393985,56313.0,0.8584871,1.35,0.23552847,0.07,2016-03-13 16:50:00
407.3304,3.98,4.176733,49554.0,0.97037816,1.32,0.22010809,0.07,2016-03-13 16:55:00
409.04938,4.24,4.1086984,53890.0,0.9040759,1.42,0.25285304,0.04,2016-03-13 17:00:00
411.0457,4.47,4.1856184,50157.0,0.98619664,1.51,0.26481783,0.02,2016-03-13 17:05:00
409.95102,4.43,4.236614,51972.0,0.9438879,1.49,0.26007143,0.02,2016-03-13 17:10:00
411.72604,4.31,4.31196,54613.0,0.9104056,1.46,0.24303806,0.05,2016-03-13 17:15:00
409.99655,4.47,4.0458126,46890.0,1.0465494,1.5,0.28780174,0.09,2016-03-13 17:20:00
411.69592,4.53,4.029466,53305.0,0.9325328,1.54,0.29666522,0.05,2016-03-13 17:25:00
413.05624,4.67,3.9969614,55488.0,0.90509194,1.59,0.34044415,0.06,2016-03-13 17:30:00
413.64188,4.73,4.0016246,56338.0,0.8953769,1.62,0.3598355,0.08,2016-03-13 17:35:00
412.57343,4.73,4.052851,51837.0,0.9653187,1.61,0.32837963,0.03,2016-03-13 17:40:00
412.61932,5.03,4.1931615,46378.0,1.0793169,1.71,0.3138672,0.03,2016-03-13 17:45:00
410.80243,4.82,4.1675053,48096.0,1.0265634,1.63,0.30749604,0.04,2016-03-13 17:50:00
411.4959,5.04,4.0508146,51491.0,0.9639262,1.71,0.3384565,0.05,2016-03-13 17:55:00
413.63248,5.11,4.1461425,40599.0,1.2423993,1.75,0.31175387,0.02,2016-03-13 18:00:00
411.75183,5.04,4.2159104,42955.0,1.1577157,1.71,0.2988531,0.06,2016-03-13 18:05:00
413.67078,5.24,4.2190166,39170.0,1.2880957,1.8,0.30535138,0.05,2016-03-13 18:10:00
412.2078,5.02,4.1616464,43273.0,1.1531743,1.7,0.30319607,0.03,2016-03-13 18:15:00
415.2934,5.01,4.202535,39888.0,1.2804191,1.73,0.29003462,0.03,2016-03-13 18:20:00
414.91745,5.07,4.294811,39944.0,1.2750243,1.75,0.28103337,0.03,2016-03-13 18:25:00
413.28317,4.93,4.0175366,45296.0,1.1106431,1.69,0.29666522,0.02,2016-03-13 18:30:00
413.0495,4.99,4.1552615,46391.0,1.0825202,1.7,0.3138672,0.08,2016-03-13 18:35:00
413.7886,5.4,4.202166,46487.0,1.0863136,1.85,0.346353,0.06,2016-03-13 18:40:00
414.6858,5.0,4.1641927,45454.0,1.1185175,1.72,0.31175387,0.05,2016-03-13 18:45:00
413.1289,5.23,4.3093157,46058.0,1.0909995,1.78,0.30749604,0.04,2016-03-13 18:50:00
412.09427,5.23,4.3089094,44660.0,1.1164026,1.78,0.30319607,0.02,2016-03-13 18:55:00
410.73682,5.31,4.3606076,47111.0,1.0475056,1.79,0.30535138,0.04,2016-03-13 19:00:00
409.46967,5.2,4.4991775,43832.0,1.1150906,1.74,0.2624511,0.04,2016-03-13 19:05:00
409.669,5.29,4.4659715,44244.0,1.106382,1.78,0.2787536,0.12,2016-03-13 19:10:00
409.75403,5.41,4.401136,46130.0,1.0618339,1.82,0.30749604,0.04,2016-03-13 19:15:00
409.4096,5.46,4.5233283,44498.0,1.0978998,1.83,0.28103337,0.02,2016-03-13 19:20:00
409.64914,5.57,4.473321,45668.0,1.0717214,1.87,0.30319607,0.03,2016-03-13 19:25:00
409.15573,5.38,4.5353503,44093.0,1.1058466,1.8,0.26951295,0.02,2016-03-13 19:30:00
