V,Np,B,Tp,Texp/Tp,Pdyn,logBeta,B_rms,Time
328.5154,7.05,1.5519665,52253.0,0.47117478,1.52,0.8350561,0.36,2020-07-10 09:35:00
332.69485,6.61,3.2400773,46359.0,0.55239606,1.46,0.6063814,0.08,2020-07-10 09:40:00
336.44034,6.0,3.7541177,45948.0,0.5771031,1.36,0.46239802,0.12,2020-07-10 09:45:00
335.5178,5.4,3.5747728,42816.0,0.61404705,1.22,0.376577,0.16,2020-07-10 09:50:00
327.52332,5.02,4.3058333,49967.0,0.48811367,1.08,0.2855573,0.11,2020-07-10 09:55:00
328.2582,4.98,4.3618803,48061.0,0.5110243,1.07,0.25285304,0.27,2020-07-10 10:00:00
328.4625,4.67,3.9819343,43027.0,0.5719187,1.01,0.18752073,0.36,2020-07-10 10:05:00
325.58212,6.06,4.1765656,53728.0,0.4456222,1.29,0.3944517,0.03,2020-07-10 10:10:00
327.23465,6.57,4.1089535,54854.0,0.44340828,1.41,0.4578819,0.06,2020-07-10 10:15:00
324.7377,5.89,3.8895502,59926.0,0.39631575,1.24,0.42160395,0.17,2020-07-10 10:20:00
323.94962,5.71,3.8581212,51205.0,0.46031934,1.2,0.45178646,0.07,2020-07-10 10:25:00
322.21997,5.4,4.1895823,49588.0,0.46747375,1.12,0.363612,0.13,2020-07-10 10:35:00
322.6006,5.65,3.8349185,51177.0,0.45462674,1.18,0.4456042,0.15,2020-07-10 10:40:00
321.5279,5.33,3.6867871,51782.0,0.44468054,1.1,0.40823996,0.1,2020-07-10 10:45:00
321.4921,4.95,4.0189676,49553.0,0.46452215,1.02,0.35602587,0.15,2020-07-10 10:50:00
322.74625,5.09,4.1851406,51522.0,0.45221746,1.06,0.32428244,0.1,2020-07-10 10:55:00
324.18442,4.76,4.3032312,51806.0,0.45600653,1.0,0.2787536,0.11,2020-07-10 11:00:00
319.79144,5.17,4.2235293,55304.0,0.40940124,1.06,0.33645976,0.11,2020-07-10 11:05:00
319.92627,4.75,4.147011,50916.0,0.44526786,0.97,0.30535138,0.12,2020-07-10 11:10:00
313.48215,4.98,4.2889276,52294.0,0.40692458,0.98,0.29666522,0.06,2020-07-10 11:15:00
320.6453,5.06,4.171271,57515.0,0.39694428,1.04,0.3384565,0.05,2020-07-10 11:20:00
322.65402,4.78,4.220154,54370.0,0.4281485,1.0,0.28330123,0.2,2020-07-10 11:25:00
323.7426,5.01,4.1765175,55742.0,0.422012,1.05,0.33041382,0.07,2020-07-10 11:30:00
326.40356,5.01,4.5793667,53366.0,0.45217806,1.07,0.2787536,0.11,2020-07-10 11:35:00
327.38968,4.96,4.549879,48610.0,0.5011028,1.07,0.24303806,0.15,2020-07-10 11:40:00
325.24655,5.0,4.4357862,51874.0,0.46006963,1.06,0.2787536,0.13,2020-07-10 11:45:00
323.52002,4.96,4.192863,51386.0,0.456807,1.04,0.30535138,0.07,2020-07-10 11:50:00
326.77078,5.3,4.1022553,47616.0,0.5085591,1.13,0.35793486,0.07,2020-07-10 11:55:00
331.6112,5.2,3.7477193,53473.0,0.4740667,1.14,0.44715804,0.58,2020-07-10 12:00:00
335.63266,5.78,2.8801389,62474.0,0.42128035,1.3,0.69983774,0.14,2020-07-10 12:05:00
334.8214,5.56,2.7762203,58031.0,0.4501308,1.25,0.7817554,0.43,2020-07-10 12:10:00
332.1789,5.88,1.9658332,63119.0,0.40376273,1.3,1.1458178,0.11,2020-07-10 12:15:00
331.84326,5.68,2.3336236,64697.0,0.3926771,1.25,0.9726656,0.24,2020-07-10 12:20:00
331.79294,5.67,2.209819,64553.0,0.3933672,1.25,0.95327634,0.33,2020-07-10 12:25:00
331.87744,5.65,2.2372754,62659.0,0.40557903,1.25,0.8981765,0.27,2020-07-10 12:30:00
329.69543,5.34,2.6318624,58019.0,0.4291118,1.16,0.76863813,0.09,2020-07-10 12:35:00
331.16498,5.14,3.087167,55200.0,0.45731384,1.12,0.60206,0.17,2020-07-10 12:40:00
332.64175,4.96,3.3537142,52066.0,0.4916032,1.1,0.5276299,0.07,2020-07-10 12:45:00
330.39627,5.11,2.7624807,52838.0,0.47431317,1.12,0.6424645,0.15,2020-07-10 12:50:00
326.39584,5.2,2.0965447,55797.0,0.43244547,1.11,0.79726756,0.22,2020-07-10 12:55:00
325.9435,4.76,2.9308362,51155.0,0.46965528,1.01,0.59659714,0.04,2020-07-10 13:00:00
329.3188,4.83,2.8664265,46024.0,0.5390277,1.05,0.6232493,0.05,2020-07-10 13:05:00
330.01456,4.85,2.8589683,41588.0,0.6004553,1.06,0.6159501,0.12,2020-07-10 13:10:00
328.91324,4.87,2.7618835,45008.0,0.5490852,1.05,0.6608655,0.1,2020-07-10 13:15:00
330.21494,4.61,3.0412004,39214.0,0.63801104,1.01,0.53907615,0.09,2020-07-10 13:20:00
329.1281,4.41,3.3667493,41788.0,0.5925988,0.96,0.40483373,0.12,2020-07-10 13:25:00
327.52878,4.39,3.5174282,44598.0,0.54690444,0.94,0.38738984,0.08,2020-07-10 13:30:00
331.9061,4.56,3.4502463,44177.0,0.57541275,1.01,0.43616268,0.04,2020-07-10 13:35:00
334.30347,4.73,3.2710242,45642.0,0.5695622,1.06,0.50920254,0.13,2020-07-10 13:40:00
332.5053,4.32,3.567338,43601.0,0.5862971,0.96,0.38381538,0.07,2020-07-10 13:45:00
332.32916,4.17,3.8055353,38453.0,0.6636935,0.92,0.30319607,0.15,2020-07-10 13:50:00
329.81348,4.93,2.5399606,52016.0,0.4791679,1.07,0.8633229,0.72,2020-07-10 13:55:00
331.02054,4.82,2.6266708,50618.0,0.4980337,1.05,0.7737865,0.61,2020-07-10 14:00:00
332.00983,4.32,3.3100755,46336.0,0.54913557,0.95,0.44715804,0.2,2020-07-10 14:05:00
331.50665,5.01,2.5493922,64297.0,0.3938736,1.1,0.83122975,0.16,2020-07-10 14:10:00
332.40308,4.86,2.219482,59293.0,0.43071997,1.08,0.85248,0.1,2020-07-10 14:15:00
332.3612,5.11,2.0855215,53008.0,0.48160034,1.13,0.96189547,0.14,2020-07-10 14:20:00
332.3612,5.11,2.1683404,53008.0,0.48160034,1.13,0.897077,0.03,2020-07-10 14:25:00
331.60617,5.23,1.9014205,53674.0,0.472269,1.15,0.98227125,0.11,2020-07-10 14:30:00
331.61703,5.37,1.192015,52920.0,0.4790467,1.18,1.2337574,0.32,2020-07-10 14:35:00
330.9081,5.42,1.0555568,53604.0,0.46979365,1.19,1.2164298,0.04,2020-07-10 14:40:00
330.11203,5.51,1.605148,48454.0,0.5158439,1.2,1.1504495,0.07,2020-07-10 14:45:00
328.73206,5.52,1.4462365,51585.0,0.47825673,1.19,1.3364598,0.07,2020-07-10 14:55:00
326.8124,5.62,1.9234085,50181.0,0.4827556,1.2,0.96801573,0.12,2020-07-10 15:15:00
325.5117,5.5,1.5453156,45753.0,0.52294433,1.17,1.109241,0.08,2020-07-10 15:30:00
327.92618,5.48,1.6771703,45929.0,0.53306377,1.18,1.122216,0.15,2020-07-10 15:35:00
328.20673,5.64,1.627114,45791.0,0.53609544,1.21,1.1423895,0.17,2020-07-10 15:40:00
328.1141,5.61,1.4288807,45421.0,0.5399879,1.21,1.2591159,0.2,2020-07-10 15:45:00
327.8295,5.66,1.5063865,47094.0,0.5194,1.22,1.1804127,0.14,2020-07-10 15:50:00
324.20984,5.28,1.5357409,43778.0,0.5397607,1.11,1.158664,0.02,2020-07-10 16:00:00
322.1116,6.2,1.6461774,49141.0,0.47123238,1.29,1.2027607,0.04,2020-07-10 16:05:00
333.045,5.05,1.6786304,43320.0,0.59308696,1.12,1.0232525,0.13,2020-07-10 16:20:00
333.6005,5.29,1.9828515,44958.0,0.5744509,1.18,0.88986176,0.22,2020-07-10 16:25:00
333.59143,5.14,2.5432851,43703.0,0.59089726,1.14,0.7535831,0.11,2020-07-10 16:30:00
334.14615,5.06,2.7329655,44326.0,0.5856133,1.13,0.68394715,0.07,2020-07-10 16:35:00
334.34836,5.07,2.7525444,42654.0,0.6097159,1.13,0.6748612,0.05,2020-07-10 16:40:00
