V,Np,B,Tp,Texp/Tp,Pdyn,logBeta,B_rms,Time
424.16855,6.67,1.8687428,67491.0,0.808233,2.4,0.9647309,0.12,2024-05-10 09:15:00
424.1103,6.86,1.7470261,72428.0,0.75281835,2.47,1.0322157,0.31,2024-05-10 09:20:00
430.78915,6.36,2.444197,69527.0,0.8233186,2.36,0.7619279,0.06,2024-05-10 09:25:00
425.67987,7.21,2.2432566,71993.0,0.7661269,2.61,0.87215626,0.16,2024-05-10 09:30:00
424.84778,7.43,1.5559564,63428.0,0.86430013,2.69,1.1152776,0.06,2024-05-10 09:35:00
424.44638,6.27,3.2209005,71178.0,0.76793045,2.26,0.651278,0.28,2024-05-10 09:40:00
420.9499,5.66,3.8099344,75128.0,0.70905936,2.01,0.5132176,0.09,2024-05-10 09:50:00
419.82098,4.74,3.9694078,72847.0,0.725174,1.67,0.39967373,0.02,2024-05-10 10:30:00
417.8957,3.93,3.7319431,67969.0,0.7661763,1.37,0.3673559,0.31,2024-05-10 10:50:00
423.74808,3.8,3.7924662,73655.0,0.738311,1.36,0.35793486,0.23,2024-05-10 11:00:00
424.22778,3.47,3.8390234,69131.0,0.7894024,1.25,0.2764618,0.15,2024-05-10 11:05:00
414.9257,3.26,4.314047,76675.0,0.66426754,1.12,0.17026173,0.07,2024-05-10 11:10:00
416.82065,4.38,2.858391,79720.0,0.6480222,1.52,0.54157925,0.35,2024-05-10 11:15:00
422.00235,3.6,3.67109,75388.0,0.71212816,1.28,0.32837963,0.13,2024-05-10 11:35:00
425.4358,3.35,3.6224577,71180.0,0.7734951,1.21,0.31806332,0.14,2024-05-10 11:40:00
423.92703,3.46,3.714189,76675.0,0.710164,1.24,0.3201463,0.11,2024-05-10 11:45:00
414.0149,3.78,3.5140574,90985.0,0.5559761,1.3,0.4232459,0.1,2024-05-10 11:50:00
420.7746,3.47,3.6357393,71462.0,0.7444683,1.23,0.2988531,0.06,2024-05-10 11:55:00
425.77808,3.04,3.2207143,63903.0,0.86373705,1.1,0.3096302,0.28,2024-05-10 12:00:00
426.29752,4.35,3.3039672,99235.0,0.55832404,1.58,0.70500803,0.47,2024-05-10 12:05:00
424.9081,3.15,2.7923467,75776.0,0.723779,1.14,0.39967373,0.05,2024-05-10 12:25:00
417.6149,3.03,3.425449,71720.0,0.724587,1.06,0.22530928,0.08,2024-05-10 12:30:00
410.85748,3.06,3.5446157,83032.0,0.5948815,1.04,0.26717174,0.18,2024-05-10 12:35:00
419.7625,2.73,3.7121556,70350.0,0.7505878,0.96,0.18752073,0.21,2024-05-10 12:40:00
411.69226,2.78,4.0309057,65088.0,0.7636936,0.94,0.12710482,0.08,2024-05-10 12:45:00
412.2386,2.68,3.9820094,73616.0,0.6780172,0.91,0.14612804,0.05,2024-05-10 12:50:00
407.629,2.97,3.950772,88747.0,0.54307115,0.99,0.23299614,0.02,2024-05-10 12:55:00
407.55185,3.03,3.7088811,92493.0,0.52076966,1.01,0.2787536,0.08,2024-05-10 13:10:00
404.4582,2.95,3.611108,101424.0,0.46378008,0.96,0.33041382,0.03,2024-05-10 13:30:00
405.50958,3.0,3.4381826,100036.0,0.47403058,0.99,0.34044415,0.04,2024-05-10 13:35:00
408.95828,2.9,3.2958457,93734.0,0.5194154,0.97,0.35218254,0.06,2024-05-10 13:45:00
414.50787,2.96,2.990117,86193.0,0.5890645,1.02,0.40312052,0.07,2024-05-10 14:00:00
408.19626,2.82,3.1553605,104437.0,0.46348548,0.94,0.42160395,0.21,2024-05-10 14:05:00
411.32275,3.41,3.5833642,93442.0,0.5304739,1.15,0.38021126,0.01,2024-05-10 14:10:00
409.16867,3.08,3.4858859,86903.0,0.56114167,1.03,0.32428244,0.01,2024-05-10 14:15:00
407.73364,3.29,3.516262,95718.0,0.5039225,1.1,0.38381538,0.07,2024-05-10 14:30:00
410.81604,3.55,3.1691322,104699.0,0.47162518,1.2,0.4941546,0.05,2024-05-10 14:35:00
415.11304,3.95,2.6786003,155731.0,0.3275157,1.37,0.66558105,0.17,2024-05-10 14:50:00
456.31732,7.64,2.2981298,101080.0,0.67746675,3.18,0.9400182,0.25,2024-05-10 14:55:00
441.12207,10.32,1.9759808,81962.0,0.7518897,4.12,1.1000258,0.14,2024-05-10 15:00:00
450.23212,7.95,2.7662249,103273.0,0.63594,3.24,0.7853298,0.35,2024-05-10 15:05:00
442.18314,8.44,2.2033384,87667.0,0.7082371,3.35,0.9479236,0.07,2024-05-10 15:10:00
448.43515,9.28,1.8924322,98091.0,0.6612522,3.75,1.0216027,0.32,2024-05-10 15:15:00
452.5061,9.4,2.7561204,89250.0,0.74749076,3.86,0.9355073,0.49,2024-05-10 15:20:00
456.16254,14.38,2.1858866,56206.0,1.2170599,5.99,1.2848818,0.08,2024-05-10 15:25:00
451.82193,14.2,1.9208852,51729.0,1.2836137,5.8,1.2329962,0.14,2024-05-10 15:30:00
455.13724,13.66,1.8025813,57113.0,1.1893712,5.66,1.2395498,0.22,2024-05-10 15:35:00
450.51236,14.32,2.6984625,47428.0,1.3874246,5.82,1.1528996,0.11,2024-05-10 15:40:00
449.077,15.26,2.447938,49706.0,1.3107535,6.15,1.2447718,0.1,2024-05-10 15:45:00
450.853,16.11,2.5872958,51584.0,1.278648,6.55,1.1826999,0.14,2024-05-10 15:50:00
449.29813,15.63,2.064243,49785.0,1.3106807,6.31,1.2789822,0.09,2024-05-10 15:55:00
454.55197,15.77,2.1493256,47989.0,1.4098442,6.52,1.224792,0.22,2024-05-10 16:00:00
448.06738,15.18,2.2591372,48709.0,1.3282437,6.09,1.1752219,0.26,2024-05-10 16:05:00
446.87048,16.71,2.6030366,50131.0,1.2798657,6.67,1.1395643,0.19,2024-05-10 16:10:00
447.80402,15.38,2.8286572,49825.0,1.296119,6.17,1.0870713,0.16,2024-05-10 16:15:00
448.72675,16.43,2.7749953,48937.0,1.3281212,6.62,1.122216,0.07,2024-05-10 16:20:00
447.10678,17.06,3.2056665,52568.0,1.2225426,6.83,1.1149445,0.13,2024-05-10 16:25:00
448.61356,16.21,2.9834712,49526.0,1.3112959,6.53,1.1156106,0.2,2024-05-10 16:30:00
448.29028,15.82,3.0418909,44760.0,1.447669,6.36,1.0546131,0.06,2024-05-10 16:35:00
448.29028,15.82,3.4092228,44760.0,1.447669,6.36,1.0546131,0.33,2024-05-10 16:40:00
449.35895,17.58,3.552098,52650.0,1.2398813,7.1,1.065953,0.43,2024-05-10 16:45:00
447.00458,18.2,4.27357,49833.0,1.2887224,7.27,0.8674675,0.08,2024-05-10 16:50:00
447.02628,15.51,4.2698245,48112.0,1.3350223,6.2,0.781037,0.06,2024-05-10 16:55:00
449.96378,16.98,2.40356,52823.0,1.241006,6.88,0.70500803,5.51,2024-05-10 17:00:00
693.78625,37.93,12.635493,631420.0,0.39964324,36.71,0.53147894,1.82,2024-05-10 17:05:00
514.4274,23.75,3.8637805,260152.0,0.3822786,14.71,0.48144266,3.6,2024-05-10 17:10:00
604.969,32.92,7.1120253,525191.0,0.31367007,26.43,0.65030754,2.35,2024-05-10 17:15:00
646.1925,42.63,7.975845,584264.0,0.34618062,37.91,0.7339993,1.96,2024-05-10 17:20:00
472.3865,23.84,9.020021,104561.0,0.7294131,11.71,0.00432137,2.37,2024-05-10 17:25:00
445.40698,16.13,17.585194,47651.0,1.3327963,6.4,-0.4436975,6.17,2024-05-10 17:30:00
678.06805,26.95,25.403751,1334161.0,0.17611676,24.78,0.48429987,5.32,2024-05-10 17:40:00
692.45416,25.97,29.66838,663206.0,0.37821963,24.91,-0.008773916,0.96,2024-05-10 17:45:00
684.34564,25.57,8.110659,757664.0,0.31914735,23.98,0.5118834,5.71,2024-05-10 17:50:00
675.6512,33.37,15.642893,1070989.0,0.21696837,30.48,0.97405094,7.67,2024-05-10 17:55:00
697.76276,21.12,40.740993,362779.0,0.7080688,20.58,-0.56863624,5.62,2024-05-10 18:00:00
702.9544,32.82,42.366356,310156.0,0.84753805,32.44,-0.5086383,1.66,2024-05-10 18:05:00
710.059,19.34,49.741707,457828.0,0.59242374,19.43,-0.7447275,0.54,2024-05-10 18:10:00
694.3371,46.09,31.336006,1254299.0,0.20167994,44.54,0.7032914,12.79,2024-05-10 18:25:00
707.4919,47.69,9.5205145,1214222.0,0.22087166,47.76,1.1436393,1.88,2024-05-10 18:30:00
712.80817,46.73,17.301287,1177776.0,0.2330754,47.49,0.8808136,0.68,2024-05-10 18:35:00
697.8983,48.96,22.051188,1246248.0,0.20624137,47.69,0.7604225,0.77,2024-05-10 18:45:00
706.284,49.43,26.129105,1177345.0,0.22658135,49.32,0.5728716,2.45,2024-05-10 18:50:00
646.43536,43.4,19.580568,1119653.0,0.18085746,36.43,0.37474835,0.9,2024-05-10 18:55:00
628.39874,40.14,27.946272,1092298.0,0.16975419,31.82,0.29666522,1.04,2024-05-10 19:00:00
706.8079,39.62,21.194426,595805.0,0.44877258,39.62,0.19312459,2.36,2024-05-10 19:20:00
693.90674,47.65,21.592957,523257.0,0.4825146,46.03,0.19312459,1.28,2024-05-10 19:25:00
696.38214,45.75,21.162622,917145.0,0.27835682,44.51,0.28103337,0.88,2024-05-10 19:30:00
689.70056,45.14,22.834394,1039531.0,0.23832422,43.01,0.3138672,1.96,2024-05-10 19:35:00
698.2945,43.84,15.724506,481190.0,0.53509486,43.03,0.25285304,4.42,2024-05-10 19:40:00
712.47186,40.15,25.942495,529467.0,0.51770484,40.76,0.06818584,1.2,2024-05-10 19:45:00
710.839,46.34,26.955254,381392.0,0.7135879,46.97,-0.06550154,0.92,2024-05-10 19:50:00
708.3231,45.07,33.860085,234664.0,1.1470414,45.33,-0.30103,0.76,2024-05-10 19:55:00
709.6492,42.34,35.751545,264643.0,1.0230428,42.73,-0.26760623,1.01,2024-05-10 20:00:00
709.6563,54.51,30.87524,283606.0,0.9546681,54.9,-0.045757502,1.4,2024-05-10 20:05:00
702.251,48.67,32.4329,277366.0,0.94478446,48.05,-0.13667715,1.38,2024-05-10 20:10:00
704.1678,49.55,30.379026,291353.0,0.9070924,49.14,-0.08618615,1.93,2024-05-10 20:15:00
693.2157,47.25,32.23788,300943.0,0.8363619,45.42,-0.09151498,0.27,2024-05-10 20:40:00
701.3796,44.55,32.678486,313208.0,0.83344007,43.8,-0.12493874,1.34,2024-05-10 20:45:00
704.2513,44.79,32.675842,317360.0,0.8330656,44.3,-0.1426675,0.81,2024-05-10 20:50:00
695.90955,47.33,31.558914,315615.0,0.8071689,45.77,-0.08092192,2.1,2024-05-10 20:55:00
700.7898,33.04,37.782925,228799.0,1.1379306,32.38,-0.455932,1.74,2024-05-10 21:00:00
695.6365,33.99,35.849335,218133.0,1.1664608,32.8,-0.26760623,6.78,2024-05-10 21:05:00
688.58093,38.78,38.14432,260160.0,0.9474768,36.79,-0.2839967,5.41,2024-05-10 21:10:00
686.93555,36.4,39.27351,187293.0,1.3063308,34.48,-0.552842,1.9,2024-05-10 21:15:00
682.6648,35.12,41.765224,147598.0,1.6257832,32.72,-0.6197888,1.32,2024-05-10 21:20:00
690.09503,34.19,43.481888,137305.0,1.8075583,32.57,-0.69897,0.13,2024-05-10 21:25:00
693.6235,35.54,43.240574,148638.0,1.69646,34.19,-0.67778075,0.18,2024-05-10 21:30:00
688.2961,35.94,43.341354,143646.0,1.7137845,34.07,-0.65757734,0.26,2024-05-10 21:35:00
695.3846,35.8,43.542694,165570.0,1.5350417,34.62,-0.63827217,0.25,2024-05-10 21:40:00
699.8618,23.41,45.029995,163221.0,1.5885557,22.93,-0.853872,0.54,2024-05-10 21:45:00
657.8726,16.44,47.944786,176418.0,1.2122375,14.23,-1.0457575,0.64,2024-05-10 21:50:00
679.43555,14.03,48.463734,149729.0,1.5791624,12.96,-1.154902,0.22,2024-05-10 21:55:00
667.5256,14.68,50.488518,134136.0,1.6683165,13.09,-1.154902,0.29,2024-05-10 22:00:00
698.6302,16.49,59.495586,176767.0,1.458801,16.33,-1.2218488,6.93,2024-05-10 22:05:00
726.1853,24.03,68.70205,185890.0,1.5647318,25.35,-1.154902,0.98,2024-05-10 22:10:00
718.4557,19.37,69.58301,203280.0,1.3839927,20.0,-1.2218488,0.26,2024-05-10 22:15:00
764.4907,22.44,67.227104,370444.0,0.92144704,26.22,-1.0,0.72,2024-05-10 22:25:00
772.091,35.91,31.385773,342703.0,1.0271864,43.29,-0.6197888,6.27,2024-05-10 22:30:00
749.8435,9.99,66.808556,623286.0,0.51564574,11.23,-1.154902,0.51,2024-05-10 22:35:00
770.59564,32.35,66.269424,126245.0,2.7716093,38.52,-1.154902,1.38,2024-05-10 22:45:00
723.23773,21.33,68.9553,147045.0,1.9532009,22.32,-1.30103,0.22,2024-05-10 22:50:00
742.77875,23.9,68.6944,62340.0,5.0058045,26.37,-1.3979402,0.21,2024-05-10 22:55:00
744.884,25.01,69.731224,77986.0,4.036923,27.79,-1.30103,0.05,2024-05-10 23:00:00
751.9289,28.64,69.058395,97401.0,3.3283582,32.41,-1.2218488,0.11,2024-05-10 23:05:00
725.00146,23.75,67.32646,200028.0,1.4467695,24.97,-1.154902,1.08,2024-05-10 23:45:00
723.6018,6.17,68.42566,170625.0,1.6859121,6.46,-1.69897,0.54,2024-05-11 00:10:00
695.4743,7.29,62.895283,218196.0,1.1652777,7.08,-1.5228789,4.2,2024-05-11 00:15:00
742.68445,16.42,48.331703,696128.0,0.44810516,18.79,-0.53760207,5.68,2024-05-11 00:20:00
764.2594,24.84,45.790035,717497.0,0.47529545,29.0,-0.43179828,1.08,2024-05-11 00:25:00
754.0139,23.85,50.068466,380891.0,0.8584922,27.12,-0.7212464,1.89,2024-05-11 00:30:00
762.7574,19.73,53.0984,635628.0,0.53323805,22.95,-0.63827217,0.93,2024-05-11 00:40:00
760.862,20.58,51.796707,407795.0,0.82474285,23.83,-0.79588,2.27,2024-05-11 00:45:00
777.5803,21.09,50.96102,1239337.0,0.2903727,25.52,-0.38721615,2.31,2024-05-11 00:50:00
718.63464,28.17,47.927578,654368.0,0.43027198,29.09,-0.40893543,3.79,2024-05-11 00:55:00
744.20166,27.26,51.38932,741375.0,0.42343843,30.18,-0.455932,1.79,2024-05-11 01:00:00
750.68066,23.97,48.096764,394515.0,0.8174926,27.05,-0.67778075,2.01,2024-05-11 01:05:00
734.07416,24.26,49.740887,505274.0,0.5953559,26.15,-0.60206,0.64,2024-05-11 01:10:00
732.70807,25.36,44.74699,562408.0,0.53178215,27.24,-0.52287877,1.3,2024-05-11 01:15:00
736.68335,18.45,48.39526,278358.0,1.0926896,20.04,-0.9586073,0.93,2024-05-11 01:20:00
733.95764,24.22,43.369324,506604.0,0.5934996,26.11,-0.56863624,1.68,2024-05-11 01:25:00
722.85724,30.07,41.8613,501009.0,0.5723218,31.43,-0.455932,1.48,2024-05-11 01:30:00
723.39355,28.06,42.673492,451875.0,0.636019,29.39,-0.49485007,1.13,2024-05-11 01:35:00
727.1434,37.95,31.713903,645858.0,0.45221123,40.53,0.00432137,1.78,2024-05-11 01:40:00
764.41516,38.27,20.489573,630921.0,0.5408593,44.7,0.17897695,2.07,2024-05-11 01:45:00
738.3215,31.27,35.07784,228826.0,1.3384372,34.09,-0.4202164,0.05,2024-05-11 02:05:00
730.70703,37.93,33.11745,631913.0,0.4692787,40.5,0.12057395,2.14,2024-05-11 02:10:00
730.70703,37.93,28.378714,631913.0,0.4692787,40.5,0.23299614,1.61,2024-05-11 02:15:00
731.5943,35.49,32.52424,433008.0,0.68743676,37.99,-0.07058106,1.2,2024-05-11 02:20:00
727.12695,36.87,27.272871,282861.0,1.0324638,38.97,-0.07572073,3.06,2024-05-11 02:40:00
738.6758,35.43,28.25611,310337.0,0.9883675,38.65,-0.16115092,0.62,2024-05-11 02:45:00
747.2795,31.43,22.225222,276720.0,1.1491255,35.13,-0.29242983,0.22,2024-05-11 02:50:00
761.5173,28.35,25.033796,191665.0,1.7594682,32.53,-0.38721615,1.34,2024-05-11 02:55:00
752.544,32.83,26.29805,237682.0,1.3674225,37.09,-0.24412516,0.88,2024-05-11 03:00:00
753.0274,13.78,30.222557,214888.0,1.5154969,15.64,-0.7695511,1.75,2024-05-11 03:05:00
